x_key,y_key,radiation,weight,step,id
3,4,0.079230,1,0,7
3,4,0.079818,1,1,7
3,3,0.085364,1,2,7
2,3,0.090736,1,3,7
2,3,0.095212,1,4,7
2,2,0.104080,1,5,7
2,2,0.107480,1,6,7
2,2,0.109283,1,7,7
1,2,0.115562,1,8,7
1,2,0.127336,1,9,7
1,1,0.138635,1,10,7
1,1,0.144915,1,11,7
1,1,0.147525,1,12,7
1,1,0.157000,1,13,7
1,0,0.178312,1,14,7
1,0,0.210825,1,15,7
1,-1,0.231102,1,16,7
1,-1,0.234888,1,17,7
1,-1,0.239221,1,18,7
1,-1,0.241633,1,19,7
1,-1,0.238786,1,20,7
1,-1,0.226822,1,21,7
1,0,0.205284,1,22,7
1,0,0.189128,1,23,7
1,0,0.167787,1,24,7
1,1,0.147202,1,25,7
1,1,0.127899,1,26,7
0,2,0.113668,1,27,7
0,2,0.101812,1,28,7
0,2,0.096085,1,29,7
0,2,0.094874,1,30,7
-1,2,0.096809,1,31,7
-1,2,0.093881,1,32,7
-2,1,0.089229,1,33,7
-2,1,0.087797,1,34,7
-2,1,0.090308,1,35,7
-2,0,0.094410,1,36,7
-3,0,0.094982,1,37,7
-3,0,0.096415,1,38,7
-3,-1,0.099019,1,39,7
-3,-1,0.096125,1,40,7
-3,-1,0.093719,1,41,7
-3,-2,0.096848,1,42,7
-3,-2,0.106906,1,43,7
-3,-2,0.120554,1,44,7
-3,-3,0.134592,1,45,7
-2,-3,0.141668,1,46,7
-2,-4,0.149102,1,47,7
-2,-4,0.152311,1,48,7
-2,-4,0.162429,1,49,7
-2,-4,0.173141,1,50,7
-1,-5,0.209634,1,51,7
-1,-5,0.217372,1,52,7
-1,-5,0.223178,1,53,7
-1,-5,0.224577,1,54,7
-1,-5,0.223292,1,55,7
-1,-5,0.204033,1,56,7
-2,-4,0.195766,1,57,7
-2,-4,0.185545,1,58,7
-2,-4,0.188293,1,59,7
-2,-4,0.184949,1,60,7
-2,-4,0.181957,1,61,7
