x_key,y_key,radiation,weight,step,id
3,4,0.079344,1,0,1
3,4,0.079398,1,1,1
3,3,0.084087,1,2,1
3,3,0.088522,1,3,1
3,3,0.095479,1,4,1
3,2,0.107324,1,5,1
3,2,0.119122,1,6,1
3,2,0.132299,1,7,1
3,1,0.142786,1,8,1
3,1,0.15282,1,9,1
3,1,0.175001,1,10,1
3,0,0.202807,1,11,1
3,0,0.232121,1,12,1
3,0,0.270989,1,13,1
3,-1,0.319539,1,14,1
3,-1,0.382274,1,15,1
3,-2,0.455517,1,16,1
3,-2,0.539711,1,17,1
3,-2,0.632696,1,18,1
4,-3,0.7187,1,19,1
4,-3,0.833874,1,20,1
4,-4,0.905109,1,21,1
4,-4,0.93994,1,22,1
4,-4,0.940735,1,23,1
4,-4,0.940827,1,24,1
